start,end,reason,enabled
2016-01-01,2016-03-12,"tank 150909_J22 ran empty (notes 2015-12-23); no valid reference until the 2016-03-12 swap. LGR gain vs certified tanks: 0.9996 (Dec 2015) / 1.0041 (Sep 2016)",true
2018-05-06,2018-06-05,"tank 171204_31 leaked/empty (calibrated flag -5 on 894k rows); leak checks + tank camera installed 2018-06-04. Slope 0.99 either side",true
2020-05-19,2020-07-21,"tank emptied hours after the 2020-05-19 visit, valve closed, calibrations turned off (notes); calibrated flag -5 throughout; cal gas flowing again by 2020-07-22",true
2022-10-28,2023-01-24,"RPi GPIO fault: inlet never switched to the tank, so no valid reference (bad file flags only the reference ID). Bracketing slopes 1.005 (Mar 2022) / 0.994 (Apr 2023). Train mostly parked",true
2024-08-21,2024-08-28,"tank 240111_69 empty (bad file flags only the reference ID); raw atmosphere median 2.00 ppm, train moving 29% of the week",true
2015-10-11T00:00,2015-10-11T16:00,"tank-swap day: reference ID flagged until the 16Z swap (old tank gas under the new config value), so the pipeline has no valid reference for these hours; raw fine (slope 1.006 / 1.011 either side)",true
2015-11-12T00:00,2015-11-15T00:00,"tank 150909_J43 running empty, reference flagged (read atmosphere, ratio 0.72-0.97); LGR pulled 11-15. No GPS these days",true
2016-11-15T00:00,2016-11-17T00:00,"tank 160330_J65 running low, reference flagged (atmosphere-like); recovered 11-18 to 11-24",true
2016-11-25T00:00,2017-01-10T00:00,"tank 160330_J65 empty (notes 2016-12-02) but the reference line delivered atmosphere, so the pipeline calibrated with slope 0.82-0.94 (6-20% high); reference flagged 2026-09-17. Slope 1.002 (Nov 2016) / 1.005 (Feb 2017) either side",true
2018-04-06T00:00,2018-04-06T20:00,"tank-swap day: reference ID flagged until the 20Z swap; raw fine (slope 1.001 / 1.010 either side)",true
2019-03-01T00:00,2019-03-02T00:00,"tank-swap day: reference ID flagged (old 5.09 tank gas under the new 1.973 value); raw fine",true
2019-10-01T00:00,2019-10-02T00:00,"tank-swap day: reference ID flagged (old 2.85 tank gas under the new 1.84 value); raw fine",true
2020-09-22T00:00,2020-09-23T03:00,"tank-swap day plus a first-reference-after-restart that measured air; reference flagged; raw fine (slope 0.99-1.0)",true
2016-04-18T18:00,2016-04-19T03:00,"pipeline calibration flag -5 (reference measurements too far apart) with a healthy analyzer; tank 160219_01, monthly slope 1.002. Audit 2026-09-22 (R4)",true
2017-11-09T00:00,2017-11-14T00:00,"Clippard valve replacement period: the site notes say data are uncalibrated until it was replaced; pipeline flag -5. Slope 1.009 (Nov 2017) / 0.992 (Dec 2017)",true
2018-02-14T22:00,2018-02-21T00:00,"pipeline calibration flag -5 with a healthy analyzer; monthly slope 0.990. Audit 2026-09-22 (R4)",true
2020-07-30T22:00,2020-08-25T00:00,"pipeline calibration flag -5 after the 2020-08-07 Clippard valve replacement; monthly slope 0.995 (Jul) / 0.997 (Aug). Audit 2026-09-22 (R4)",true
2022-03-11T02:00,2022-03-11T18:00,"pipeline calibration flag -5 with a healthy analyzer; monthly slope 1.005. Audit 2026-09-22 (R4)",true
2024-06-05T14:00,2024-06-06T03:00,"pipeline calibration flag -5 (13-0222 laser dropouts interrupting the reference cycle); slope 0.998. Audit 2026-09-22 (R4)",true
2024-06-28T16:00,2024-06-30T06:00,"pipeline calibration flag -5; slope 0.998. Audit 2026-09-22 (R4)",true
2024-07-18T13:00,2024-07-19T03:00,"pipeline calibration flag -5; slope 0.997. Audit 2026-09-22 (R4)",true
2024-07-29T02:00,2024-08-08T02:00,"pipeline calibration flag -5; includes the 2024-08-02..04 closed tank valve (bad file flags the reference ID). Slope 0.997 (Jul) / 0.996 (Aug)",true
